symbol,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,8/11/23,361.679993,363.869995,360.549988,363.200012,362.464325,26767800
MSFT,9/11/23,362.299988,364.790009,360.359985,360.690002,359.959412,24847300
MSFT,10/11/23,361.48999,370.100006,361.070007,369.670013,368.921234,28042100
MSFT,13/11/23,368.220001,368.470001,365.899994,366.679993,365.937256,19986500
MSFT,14/11/23,371.01001,371.950012,367.350006,370.269989,369.519989,27683900
MSFT,15/11/23,371.279999,373.130005,367.109985,369.670013,369.670013,26860100
GOOGL,19/11/18,53.169498,53.400002,51.143501,51.370998,51.370998,45684000
GOOGL,20/11/18,50.364498,51.8675,50.1105,51.522499,51.522499,54458000
GOOGL,21/11/18,52.265499,52.7355,51.973,52.171501,52.171501,29698000
GOOGL,23/11/18,51.674999,52.150002,51.425999,51.505001,51.505001,14178000
GOOGL,26/11/18,52.200001,52.849998,51.988499,52.797001,52.797001,31558000
GOOGL,27/11/18,52.567001,53.338001,52.275002,52.613998,52.613998,33048000
GOOGL,28/11/18,52.873001,54.643002,52.147499,54.5895,54.5895,46042000
GOOGL,29/11/18,54.176498,55.0075,54.099998,54.729,54.729,31004000
GOOGL,30/11/18,54.781502,55.482498,54.159,55.482498,55.482498,59668000
GOOGL,3/12/18,56.608002,56.75,55.586498,55.818001,55.818001,57532000
GOOGL,4/12/18,55.649502,55.712002,53.039001,53.123501,53.123501,45630000
GOOGL,6/12/18,52.25,53.971001,52.124001,53.903999,53.903999,47436000
GOOGL,7/12/18,53.6115,54.251499,51.968498,52.328999,52.328999,42682000
GOOGL,10/12/18,52.146999,52.98,51.650002,52.659,52.659,33652000
GOOGL,11/12/18,53.347,53.52,52.505001,53.0825,53.0825,33852000
GOOGL,12/12/18,53.854,54.586498,53.598499,53.686501,53.686501,28960000
GOOGL,13/12/18,53.783501,54.421001,53.2495,53.676998,53.676998,24986000
GOOGL,14/12/18,53.000999,53.585999,52.468498,52.585499,52.585499,36358000
GOOGL,17/12/18,52.350498,53.118999,50.831501,51.282501,51.282501,49932000
GOOGL,18/12/18,51.700001,52.984501,51.523998,52.170502,52.170502,43640000
GOOGL,19/12/18,52.364498,53.7855,50.9715,51.772999,51.772999,58264000
GOOGL,20/12/18,51.299999,52.372002,50.393002,51.179001,51.179001,53674000
GOOGL,21/12/18,51.602001,51.883499,49.059502,49.5625,49.5625,104656000
GOOGL,24/12/18,49.216,50.605999,48.882999,49.233501,49.233501,36360000
GOOGL,26/12/18,49.899502,52.422501,49.6325,52.392502,52.392502,46318000
GOOGL,27/12/18,51.310001,52.667,50.349998,52.645,52.645,45996000
GOOGL,28/12/18,52.974998,53.211498,52.099998,52.334,52.334,34398000
GOOGL,31/12/18,52.891499,53.149502,51.652,52.248001,52.248001,33110000
GOOGL,2/1/19,51.360001,53.039501,51.264,52.734001,52.734001,31868000
GOOGL,3/1/19,52.533501,53.313,51.1185,51.273499,51.273499,41960000
GOOGL,4/1/19,52.127998,54,51.842999,53.9035,53.9035,46022000
GOOGL,7/1/19,54.0485,54.134998,53.132,53.796001,53.796001,47446000
GOOGL,8/1/19,54.299999,54.6675,53.4175,54.268501,54.268501,35414000
GOOGL,9/1/19,54.399502,54.582001,53.718498,54.0825,54.0825,26998000
GOOGL,10/1/19,53.747002,53.990501,53.234001,53.941502,53.941502,26598000
GOOGL,11/1/19,53.494999,53.668499,52.821499,53.223499,53.223499,30864000
GOOGL,14/1/19,52.667,52.922501,52.427502,52.5755,52.5755,28490000
